roles,companies,locations,experience,skills
Data Scientist,P.S International HR Consultants,"Pune, Chennai, Bengaluru",3-7 Yrs,"model building
anomaly detection
predictive modeling
xgboost
logistic regression
arima
linear regression
advanced analytics"
Data Scientist with machine learning Frameworks and Ai For Bangalore,P.S International HR Consultants,Bengaluru,5-10 Yrs,"generative ai
data scientist
ai
machine learning
nlp
computer vision
artificial intelligence
framework"
Lead Data Scientist,P.S International HR Consultants,Remote,0-2 Yrs,"data science
predictive modeling
decision tree
time series analysis
statistical modeling
neural networks
machine learning
random forest"
Data Scientist,P.S International HR Consultants,Hybrid - Gurugram,3-8 Yrs,"data science
predictive modeling
nlp
data scientist
natural language processing
statistical modeling
time series
regression"
Senior Data Scientist (Prompt Engineer),P.S International HR Consultants,"Chennai, Bengaluru",7-8 Yrs,"c++
analytical
machine learning
programming
data quality
natural language processing
data mining
python"
FTE - LLM_Data Scientist/Data Analyst,P.S International HR Consultants,Remote,2-7 Yrs,"python programming
data science or data analysis
data science
analysis
program
data
python
programming"
Data Scientist,P.S International HR Consultants,Remote,12-18 Yrs,"data science
r
python
machine learning
data
machine
science"
Data Scientist,P.S International HR Consultants,Gandhinagar,12-15 Yrs,"machine learning
data science
artificial intelligence
migration
data scientist
modeling
deep learning
model development"
Data Scientist,P.S International HR Consultants,Chennai,3-5 Yrs,"data science
machine learning
python
hyperparameter
cloud platforms
deep learning frameworks
alogritham
aws azure"
Data Scientist,Talent Socio Bizcon Llp,Ahmedabad,12-15 Yrs,"machine learning
data science
algorithms
artificial intelligence
natural language processing
modeling
python
languages"
Data Scientist,Talent Socio Bizcon Llp,Chennai,3-8 Yrs,"eda
machine learning
deep learning
python
azure
exploratory data analysis
machine learning model development
aws"
Data Science and Data Scientist Trainer,Talent Socio Bizcon Llp,Hybrid - Chennai,5-7 Yrs,"- strong knowledge of data science concepts and techniques
science
training
concepts
data science
data"
Opening For DATA Scientist(5+yrs)@Istarbs Client Chennai,Talent Socio Bizcon Llp,Hybrid - Hyderabad,5-8 Yrs,"algorithms
cloud platform
data processing
machine learning
monitoring
pyspark
ml turning
ci/cd"
Data Scientist - Diversity,Talent Socio Bizcon Llp,Hybrid - Hyderabad,7-9 Yrs,"data science
python
science
data"
Data Scientist (AI Vector DB Engineer),Talent Socio Bizcon Llp,"Chennai, Bengaluru",7-8 Yrs,"geometry
c++
manager quality assurance
gcp
analytical
machine learning
data structures
data processing"
"SENIOR, DATA SCIENTIST",Talent Socio Bizcon Llp,Bengaluru,1-5 Yrs,"data science
networking
machine learning
sez
instrumentation
big data
information technology
monitoring"
"SENIOR, DATA SCIENTIST",Talent Socio Bizcon Llp,Bengaluru,1-5 Yrs,"computer vision
machine learning
data quality
data mining
information technology
monitoring
analytics
sql"
Senior Data Scientist,Talent Socio Bizcon Llp,Bengaluru,6-9 Yrs,"data science
deep learning
python
cnn
computer vision
neural networks
pytorch
keras"
Senior Data Scientist (Research Manager),Talent Socio Bizcon Llp,Bengaluru,8-13 Yrs,"data science
data modelling
ai/ml
product management
machine learning
cluster analysis
systems-driven framework
machine"
Senior Data Scientist G12,Talent Socio Bizcon Llp,Bengaluru,6-11 Yrs,"nlp
python
data scientist
clustering
computer vision
llm
semantic search
deep learning"
"SENIOR, DATA SCIENTIST",Talent Socio Bizcon Llp,Bengaluru,1-5 Yrs,"machine learning
sez
data mining
continuous improvement
forecasting
information technology
monitoring
analytics"
Senior Data Scientist,Talent Socio Bizcon Llp,Bengaluru,7-10 Yrs,"computer vision
deep learning
data science
machine learning
data collection
programming
predictive modeling
monitoring"
"Senior Data Scientist, Ecosystem Risk",Talent Socio Bizcon Llp,Bengaluru,6-11 Yrs,"erp
automation
manager quality assurance
mis
agile
data structures
manager quality control
business intelligence"
"senior, data scientist (operations research)",Talent Socio Bizcon Llp,Bengaluru,1-5 Yrs,"computer vision
operations research
gcp
analytical
machine learning
information technology
monitoring
analytics"
Principal Data Scientist/Senior Data Scientist / Data Scientist,Talent Socio Bizcon Llp,"Noida, Gurugram, Delhi / NCR",0-5 Yrs,"data science
ann
cnn
nlp
rnn
tensor flow
keras
machine learning"
Lead Data Scientist /Data Engineer,Talent Socio Bizcon Llp,Bengaluru,8-13 Yrs,"computer science
data science
analytical
pharma
artificial intelligence
machine learning
continuous improvement
sql"
Senior Data Scientist Engineer,Talent Socio Bizcon Llp,Bengaluru,2-7 Yrs,"procurement
data analysis
gcp
healthcare
oncology
healthcare analytics
data quality
analytics"
Senior AI/Data Science Engineer - Data Scientist,Talent Socio Bizcon Llp,Hyderabad,3-7 Yrs,"advanced analytics
data analysis
nosql
analytical
healthcare
data processing
data quality
operations"
Senior / Lead Data Scientist,Talent Socio Bizcon Llp,"Hyderabad, Chennai, Bengaluru",6-10 Yrs,"data science
classification
regression
machine learning
python
machine
senior
data"
Lead - Operation Data Scientist,Inmobi,Bengaluru,4-9 Yrs,"data analysis
data science
sas
campaign management
hypothesis testing
matlab
operations
analytics"
Principal Data Scientist / Senior Data Scientist,Inmobi,"Noida, Gurugram, Delhi / NCR",0-5 Yrs,"data science
data modelling
ann
nlp
natural language processing
machine learning
deep learning
modeling"
Principal Data Scientist / Sr. Data Scientist / Data Scientist- NLP/ML,Inmobi,"Noida, Gurugram, Delhi / NCR",0-5 Yrs,"machine learning
data science
tensorflow
predictive modeling
statistical analysis
artificial intelligence
natural language processing
data modeling"
Principal Data Scientist / Senior Data Scientist - NLP/ ML,Inmobi,"Noida, Gurugram, Delhi / NCR",0-5 Yrs,"machine learning
hypothesis testing
data modelling
cnn
tensor flow
deep learning
numpy
nlp"
Principal Data Scientist / Sr. Data Scientist / Data Scientist - NLP,Inmobi,"Noida, Gurugram, Delhi / NCR",0-5 Yrs,"machine learning
data science
predictive modeling
nlp
statistical analysis
data scientist
artificial intelligence
data modeling"
Principal Data Scientist/Senior Data Scientist/Data Scientist,Inmobi,"Noida, Gurugram, Delhi / NCR",0-5 Yrs,"data science
tensorflow
nlp
data scientist
artificial intelligence
data modeling
machine learning
numpy"
Principal Data Scientist/Senior Data Scientist/Data Scientist - NLP,Inmobi,"Noida, Gurugram, Delhi / NCR",0-5 Yrs,"machine learning
data science
tensorflow
nlp
data scientist
artificial intelligence
data modeling
numpy"
Principal Data Scientist/Senior Data Scientist/Data Scientist - NLP/ML,Inmobi,"Noida, Gurugram, Delhi / NCR",0-5 Yrs,"data science
tensorflow
nlp
data scientist
artificial intelligence
data modeling
machine learning
numpy"
Principal Data Scientist/Senior Data Scientist/Data Scientist - NLP,Inmobi,"Noida, Gurugram",0-5 Yrs,"natural language processing
data science
tensorflow
nlp
data scientist
artificial intelligence
data modeling
machine learning"
Principal Data Scientist / Senior Data Scientist/ Data Scientist - NLP,Inmobi,"Noida, Gurugram, Delhi / NCR",0-5 Yrs,"machine learning
data science
tensorflow
nlp
artificial intelligence
data modeling
statistical analysis
numpy"
Principal Data Scientist / Senior Data Scientist/Data Scientist - NLP,Inmobi,"Noida, Gurugram, Delhi / NCR",0-5 Yrs,"data science
pytorch
ann
cnn
nlp
rnn
machine learning
deep learning"
Principal Data Scientist / Senior Data Scientist - NLP/ ML,Inmobi,"Noida, Gurugram, Delhi / NCR",0-5 Yrs,"data science
hypothesis testing
data modelling
cnn
tensor flow
machine learning
deep learning
numpy"
Principal Data Scientist/Senior Data Scientist/Data Scientist - NLP/ML,Inmobi,"Noida, Delhi / NCR, Gurgaon/Gurugram",0-5 Yrs,"data science
tensorflow
nlp
data scientist
artificial intelligence
data modeling
machine learning
numpy"
Principal Data Scientist / Senior Data Scientist,Inmobi,"Noida, Gurugram, Delhi / NCR",0-5 Yrs,"data science
predictive modeling
data modelling
statistical analysis
natural language processing
machine learning
deep learning
data modeling"
Principal Data Scientist/ Sr Data Scientist/ Data Scientist - NLP,Inmobi,"Noida, Gurugram",0-5 Yrs,"data science
tensorflow
nlp
data scientist
artificial intelligence
natural language processing
data modeling
machine learning"
Principal Data Scientist / Senior Data Scientist / Data Scientist- NLP,Inmobi,"Noida, Gurugram, Delhi / NCR",0-5 Yrs,"data science
nlp
artificial intelligence
data modeling
machine learning
numpy
deep learning
python"
Principal Data Scientist/Senior Data Scientist/Data Scientist - NLP,Inmobi,"Noida, Gurugram, Delhi / NCR",0-5 Yrs,"data science
pytorch
nlp
tensor flow
keras
machine learning
aws
deep learning"
Principal Data Scientist/Senior Data Scientist/Data Scientist - NLP/ML,Inmobi,"Noida, Gurugram, Delhi / NCR",0-5 Yrs,"data science
tensorflow
nlp
artificial intelligence
data modeling
machine learning
numpy
deep learning"
Principal Data Scientist / Senior Data Scientist / Data Scientist,Inmobi,"Noida, Gurugram, Delhi / NCR",0-5 Yrs,"data science
tensorflow
nlp
data scientist
artificial intelligence
business strategy
data modeling
machine learning"
Principal Data Scientist/Senior Data Scientist/Data Scientist,Inmobi,Delhi / NCR,0-5 Yrs,"data science
tensorflow
nlp
data scientist
artificial intelligence
data modeling
machine learning
numpy"
Principal Data Scientist/Senior Data Scientist/Data Scientist - NLP,Benovymed Healthcare,"Noida, Gurugram, Delhi / NCR",0-5 Yrs,"data science
tensorflow
nlp
data scientist
artificial intelligence
data modeling
machine learning
numpy"
Data Scientist - Internship,Benovymed Healthcare,Hybrid - Pune,0-2 Yrs,"data handling
machine learning
python
machine
handling
data"
Junior Data Scientist,Benovymed Healthcare,Bengaluru,0-6 Yrs,"algorithms
python
data analysis
data analytics
natural language processing
data mining
power bi
business analytics"
Job Opening For Sr Data Scientist/Lead Data Scientist@ GlobalData(Hyd),Benovymed Healthcare,Hybrid - Hyderabad(Kondapur),3-7 Yrs,"data science
tensorflow
natural language processing
machine learning
deep learning
nltk
pytorch
ai algorithms"
Senior Data Scientist,Benovymed Healthcare,"Hybrid - Gurugram, Bangalore/ Bengaluru(Marathahalli)",4-8 Yrs,"market mix modelling
machine learning
sql
data scientist
python
predictive modeling
regression
advanced excel"
Senior Data Scientist,Benovymed Healthcare,Bengaluru,6-10 Yrs,"automation
networking
coding
data structures
technical support
analytics
sql
crm"
Senior Data Scientist,Benovymed Healthcare,Bengaluru,10-14 Yrs,"docker
multithreading
rest
python
asynchronous apex
kubernetes
openshift
redhat linux"
Sr Data Scientist,Benovymed Healthcare,Bengaluru,5-9 Yrs,"computer science
computer vision
c++
image processing
data management
aerospace
coding
machine learning"
Senior Data Scientist,Benovymed Healthcare,Bengaluru,5-10 Yrs,"operations research
sap
version control
data science
analytical
machine learning
business process management
oracle"
"Senior, Data Scientist",Benovymed Healthcare,Bengaluru,8-13 Yrs,"retail
prototype
networking
sez
data structures
information technology
monitoring
business operations"
Senior Data Scientist,Benovymed Healthcare,Bengaluru,6-11 Yrs,"sales
data science
machine learning
revenue generation
sql
auditing
python
recruitment"
Data Scientist/ Engineer (Assistant Vice President/ Associate),Benovymed Healthcare,Jaipur,10-15 Yrs,"sql
python
azure
scala
tableau
sql server
data science
ms access"
Senior Data Scientist,Benovymed Healthcare,Bengaluru,3-8 Yrs,"business services
operations research
sap
analytical
machine learning
business process management
oracle
bioinformatics"
Senior Data Scientist,Benovymed Healthcare,Bengaluru,6-11 Yrs,"relationship management
data analysis
business analysis
machine learning
agile
asset management
analytics
financial services"
Data Scientist Intern Rigbot,Benovymed Healthcare,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",No fixed duration,
Data Scientist Intern(1),Benovymed Healthcare,Bengaluru,3 months duration,
Data Scientist ( Senior Engineer ),Benovymed Healthcare,Pune,5-8 Yrs,"generative ai
natural language processing
machine learning
python
pytorch
neural networks
keras
svm"
Senior / Lead Data Scientist,Benovymed Healthcare,"Gurugram, Bengaluru",4-9 Yrs,"cloud computing
data analysis
powertrain
data science
machine learning
market research
statistics
automotive"
Principal Lead / Data Scientist - Gen Ai,Benovymed Healthcare,Gurugram,10-15 Yrs,"gen ai
cloud deployment
nlp
lang chain framework
ml pipelines
eda
java
llm"
Lead Data Scientist/SME,Benovymed Healthcare,Bengaluru,10-11 Yrs,"bfsi
gcp
social media
machine learning
cloud
open source
aws
python"
Lead Data Scientist,Baker Hughes,Bengaluru,9-14 Yrs,"data analysis
artificial intelligence
signal processing
agile
manager technology
industrial engineering
digital strategy
analytics"
Senior Data Scientist,Baker Hughes,"Hyderabad, Gurugram, Bengaluru",5-8 Yrs,"data science
ml engineering
gen ai
git
aws cloud stack
market intelligence
sql
python"
"Senior Data Scientist, Actimize",Baker Hughes,Hybrid - Pune,4-7 Yrs,"python
natural language processing
scikit-learn
neural networks
machine learning
research
unsupervised learning
deep learning"
Senior Digital Data Scientist II,Baker Hughes,Bengaluru,5-9 Yrs,"procurement
data management
gcp
machine learning
clinical trials
clinical development
healthcare
oncology"
Data Scientist Analyst,Baker Hughes,Greater Noida,4-5 Yrs,"machine learning
predictive analytics
sql
python
data analysis
analytics
machine
predictive"
"Senior Associate, Principal Statistical Data Scientist",Baker Hughes,Chennai,7-11 Yrs,"statistical programming
cro
sas
pharma
clinical trials
mentor
management
clinical data"
Lead Data Scientist,Baker Hughes,Bengaluru,8-13 Yrs,"data science
statistical modeling
machine learning
python
sql
deep learning
modeling
machine"
Sr.Data Scientist (8+Yrs Exp) || IT MNC Company || Bengaluru,Baker Hughes,"Mysuru, Bangalore Rural, Bengaluru",8-13 Yrs,"data mining
data cleansing
machine learning
data science
data analytics
predictive modeling
logistic regression
natural language processing"
Senior Data Scientist - Digital Health,Baker Hughes,Bengaluru,3-8 Yrs,"data science
gcp
machine learning
agile
healthcare
data visualization
sql
recruitment"
Senior Data Scientist,Baker Hughes,"Prayagraj, Varanasi, Ghaziabad, Kanpur, Lucknow, Agra",3-7 Yrs,"procurement
computer science
business services
computer vision
automation
analytical
machine learning
business strategy"
Senior Data Scientist,Baker Hughes,Mumbai,4-6 Yrs,"collection scorecards
sas
application scorecard
behaviour scorecard
python
sql
collections
application"
Senior Data Scientist,Baker Hughes,Bengaluru,4-9 Yrs,"predictive modeling
data visualization
machine learning
python
cloud technologies
power bi
linear regression
xgboost"
Senior Data Scientist - Marketplace,Baker Hughes,Bengaluru,5-11 Yrs,"machine learning
distribution system
financial services
sql
python
recruitment
logistics
technical documentation"
Senior Data Scientist - Marketplace,Baker Hughes,Bengaluru,5-10 Yrs,"machine learning
distribution system
financial services
sql
python
recruitment
logistics
technical documentation"
Data Scientist Architect,Baker Hughes,"Pune, Chennai, Bengaluru",9-13 Yrs,"data science
nltk
spacy
pytorch
spark nlp
huggingface
keras
tensorflow"
Associate Data Scientist,Baker Hughes,Bengaluru,3-8 Yrs,"gas turbine
python
data analytics
modeling
power bi
engineering
machine learning
artificial intelligence"
Sr Data Scientist / Lead Data Scientist,Baker Hughes,"Hybrid - Mangaluru, Bengaluru",7-12 Yrs,"gen ai
langchain
llm
python
data science
generative ai
artificial intelligence
large language models"
"Lead Data Scientist (10+ years), Senior Data Scientist (7+ years), Dat",Baker Hughes,Remote,5-10 Yrs,"pyspark
palantir foundry
aws
data bricks
python
senior
bricks
foundry"
Senior/ Lead Data Scientist - Bangalore,Baker Hughes,Bengaluru,5-10 Yrs,"data science
power bi
machine learning
sql
python
science
bi
senior"
Lead Data Scientist,Baker Hughes,Pune,6-11 Yrs,"unix
mining
coding
product innovation
configuration management
information security
machine learning
agile"
Lead Data Scientist,IIFL Finance,"Mumbai, Mumbai Suburban, Mumbai (All Areas)",7-10 Yrs,"collection scorecards
application scorecard
behaviour scorecard
python
sql
sas
collections
application"
Data AI | Sr Data Scientist,IIFL Finance,Noida,5-10 Yrs,"python
project management
data analysis
analytical
data mining
engineering
machine learning
tools"
Data AI | Sr Data Scientist,IIFL Finance,Noida,5-10 Yrs,"python
project management
data analysis
analytical
data mining
engineering
machine learning
tools"
Senior Data Scientist,IIFL Finance,Mumbai Suburban,5-10 Yrs,"nosql databases
artificial intelligence
ai
senior
dbms
nosql database
intelligence
nosql"
Senior Data scientist,IIFL Finance,Chennai,8-10 Yrs,"usage
architecture
manager technology
competency development
mentor
management
analytics
monitoring"
senior data scientist,IIFL Finance,Pune,5-10 Yrs,"logistic regression
due diligence
manager quality assurance
information security
analytical
consulting
machine learning
open source"
"Sr.Data Scientist - Python, SQL- Gurgoan phase - III - office job",IIFL Finance,Gurugram(Phase 3 Sector 22A Gurgaon),7-12 Yrs,"python
sql
data science
data scientist
machine learning
deep learning
science
office"
Senior Data Scientist,IIFL Finance,Mumbai,3-5 Yrs,"deep learning
ms sql
xml
mutual funds
fixed income
machine learning
agile
data visualization"
Senior Data Scientist,IIFL Finance,Noida,6-11 Yrs,"automation
machine learning
performance testing
healthcare
unit testing
sdlc
analytics
monitoring"
Senior Data Scientist - AI/ML,IIFL Finance,Hyderabad,8-12 Yrs,"computer science
computer vision
data analysis
image processing
data science
machine learning
data collection
healthcare"
Senior Data Scientist,IIFL Finance,Pune,9-14 Yrs,"text mining
deep learning
advanced analytics
data analysis
machine learning
manager technology
information retrieval
research"
Senior Data Scientist,IIFL Finance,Pune,9-11 Yrs,"text mining
deep learning
advanced analytics
data analysis
machine learning
manager technology
information retrieval
research"
Senior Data Scientist,IIFL Finance,Pune,10-12 Yrs,"microstrategy
claims
underwriting
data processing
actuarial
data mining
matlab
monitoring"
Senior Data Scientist,IIFL Finance,Mumbai,4-7 Yrs,"neural networks
business analytics
mysql
machine learning
data collection
data structures
information retrieval
market data"
Senior Data Scientist,IIFL Finance,Hyderabad,7-11 Yrs,senior data scientist
Senior Data Scientist,IIFL Finance,Noida,3-4 Yrs,"analytical
artificial intelligence
machine learning
healthcare
genetics
life sciences
continuous improvement
analytics"
Senior Statistical Data Scientist,IIFL Finance,Chennai,5-8 Yrs,"cro
biotechnology
qc
pharma
programming
senior
data
program"
Data Scientist: Advanced Analytics,IIFL Finance,Bengaluru,3-7 Yrs,"amazon lex
kinesis
node.js
tableau
iam
advanced analytics
python
quicksight"
Analytics Data Scientist,IIFL Finance,Bengaluru,3-5 Yrs,"analytics data science
aao tools
data science
sas
machine learning
campaign management
spss
data munging"
"PRINCIPAL, DATA SCIENTIST",IIFL Finance,Bengaluru,12-20 Yrs,"computer vision
operations research
gcp
analytical
consulting
machine learning
information technology
analytics"
Data Scientist - Credit Card Analytics,Visa,Bengaluru,4-9 Yrs,"data analysis
managed services
sas
consulting
data analytics
customer engagement
portfolio management
sql"
Research Data Scientist,Visa,"Hybrid - Noida, Hyderabad, Bengaluru",4-9 Yrs,"nlp
artificial intelligence
sql
python
intelligence
data
research
natural language processing"
Lead I - Software Engineering - Data Scientist,Visa,Bengaluru,5-7 Yrs,"rca
coding
analytical
configuration management
test planning
application development
test cases
dbms"
Junior Data Scientist,Visa,Bengaluru,1-3 Yrs,"data science
linux
hadoop
python
data
science"
Trainee - Data Scientist,Visa,Chennai,No fixed duration,
Oliver Wyman - Data Scientist - Data and Analytics (DNA),Visa,Gurugram,0-15 Yrs,"sas
project management
analytical
consulting
machine learning
risk management
analytics
sql"
Data Scientist Intern,Visa,Pune,No fixed duration,
Data Scientist Trainee,Visa,Ernakulam,0-1 Yrs,"computer science
nosql
data science
database management
analytical
programming
scientist trainee
mathematics"
AM/DM - Data Analyst / Data Scientist / Digital Project Lead,Visa,Gurugram,4-9 Yrs,"data science
manufacturing process
big data analytics
analytical
machine learning
resource allocation
agile
risk management"
Senior Data Scientist,Visa,"Hyderabad, Chennai, Bengaluru",5-8 Yrs,"data science
artificial intelligence
natural language processing
model building
machine learning
predictive modeling
decision tree
ml algorithms"
Data Scientist - ML Engineer,Visa,"Hyderabad, Gurugram",5-7 Yrs,"machine learning
data science
pyspark
predictive modelling
excel
data modelling
data governance
data visualization"
SME / Lead Data Scientist at Bangalore,Visa,"Hybrid - Bangalore Rural, Bengaluru",10-20 Yrs,"nlp
artificial intelligence
machine learning
deep learning
machine
intelligence
natural language processing
data"
Lead Data Scientist,Visa,Noida,4-9 Yrs,"data analysis
data science
machine learning
cloud
data processing
analytics
monitoring
data architecture"
"Senior Data Scientist || MNC || Bangalore, Hyderabad",Visa,"Hyderabad, Bangalore Rural, Bengaluru",4-9 Yrs,"big data
sql
spark
python
scipy
svm
machine learning
numpy"
Senior Data Scientist - I,Visa,Bengaluru,3-8 Yrs,"data science
matplotlib
scipy
h2o
power bi
scikit-learn
mllib
numpy"
Senior Data Scientist - Program Developer,Visa,Bengaluru,5-10 Yrs,"data analysis
sas
coding
web development
agile
business intelligence
data mining
analytics"
Senior Data Scientist - II,Visa,Bengaluru,3-8 Yrs,"data science
data analysis
power bi
qlik
data transformation
data visualization
data engineering
python"
Senior Data Scientist,Visa,"Hybrid - Chennai, Coimbatore, Bengaluru",5-10 Yrs,"llm
machine learning
python
sql
gen ai
transformation
eda
data cleansing"
Senior Data Scientist,Visa,Bengaluru,3-5 Yrs,"supply chain management
data management
machine learning
performance testing
scm
troubleshooting
distribution system
sql"
Senior Data Scientist,Visa,Bengaluru,3-5 Yrs,"nosql
machine learning
performance testing
scm
troubleshooting
distribution system
forecasting
sql"
Senior Data Scientist - Senior Manager,State Street,Bengaluru,8-9 Yrs,"computer science
process automation
coding
artificial intelligence
machine learning
gts
data processing
financial services"
Senior Data Scientist,State Street,India,7-10 Yrs,"data science
artificial intelligence
model building
machine learning
python
nlp
generative ai
rag"
Data Scientist Architect,State Street,Bengaluru,12-14 Yrs,"computer science
postgresql
debugging
machine learning
olap
data quality
apache
data mining"
"Staff, Data Scientist",State Street,Bengaluru,7-9 Yrs,"computer science
prototype
networking
coding
consulting
sez
data structures
information technology"
"STAFF, DATA SCIENTIST",State Street,Bengaluru,4-8 Yrs,"networking
web analytics
consulting
machine learning
data mining
information technology
analytics
sql"
"STAFF, DATA SCIENTIST (Optimization)",State Street,Bengaluru,4-9 Yrs,"networking
web analytics
consulting
machine learning
data mining
information technology
analytics
sql"
"PRINCIPAL, DATA SCIENTIST",State Street,Bengaluru,13-20 Yrs,"data science
coding
consulting
machine learning
sez
data quality
data mining
information technology"
"PRINCIPAL, DATA SCIENTIST",State Street,Bengaluru,7-12 Yrs,"cloud computing
core java
networking
coding
consulting
javascript
information technology
analytics"
Associate Data Scientist,State Street,"Noida, Pune",1-2 Yrs,"data scientist
machine learning
python
deep learning
machine
data"
Lead Data Scientist,State Street,Bengaluru,6-11 Yrs,"generative ai
deep learning
r
nlp
data analysis
data science
predictive modeling
business analytics"
Lead Data Scientist,State Street,"Hyderabad, Gurugram",4-8 Yrs,"data science
deep learning
statistical analysis
machine learning
python
science
statistics
machine"
Senior Data Scientist,State Street,Pune,2-8 Yrs,"computer science
automation
database design
spark
cloud services
data governance
microsoft azure
monitoring"
Senior Data Scientist,State Street,Bengaluru,4-8 Yrs,"product management
data analysis
wealth management
analytical
data collection
asset management
data mining
operations"
Sr. Data Scientist,State Street,Hyderabad,3-7 Yrs,"project management
artificial intelligence
machine learning
agile
healthcare
natural language processing
analytics
financial services"
"Senior Data Scientist || MNC || Mumbai, Bengaluru",State Street,"Mumbai, Pune, Bengaluru",6-11 Yrs,"big data
sql
spark
python
scipy
svm
machine learning
numpy"
Sr. DATA SCIENTIST,State Street,Pune,7-12 Yrs,"python
random forest
machine learning
r
troubleshooting
algorithms
natural language processing
data mining"
Senior Data Scientist,State Street,Bengaluru,2-5 Yrs,"operations research
analytical
algorithm development
data structures
healthcare
test cases
management
fraud detection"
Senior Data Scientist,State Street,Bengaluru,5-9 Yrs,"operations research
gcp
machine learning
genetics
german
data mining
forecasting
sql"
Senior Data Scientist (Remote Sensing),State Street,Bengaluru,5-10 Yrs,"data analysis
image processing
project management
machine learning
debugging
system design
monitoring
remote sensing"
Sr. Data Scientist,State Street,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,"deep learning
front end
mysql
machine learning
php
information retrieval
html
natural language processing"
Senior Data Scientist ( Healthcare Apps ),Scribe Emr,Bengaluru(Hebbal),4-6 Yrs,"data science
java
c++
nlp
image processing
.net
j2ee
machine learning"
Senior Data Scientist - Conversational AI,Scribe Emr,Bengaluru,3-6 Yrs,"mediclaim
analytical
cloud
video conferencing
transformers
deployment
cost
python"
Senior Data Scientist,Scribe Emr,Bengaluru,5-7 Yrs,"automation
data analysis
sas
coding
analytical
process improvement
machine learning
automotive"
Senior Data Scientist,Scribe Emr,"Hybrid - Pune, Chennai, Bengaluru",8-12 Yrs,"data science
generative ai
google vertex ai
python
artificial intelligence
machine learning
data
intelligence"
Senior Data Scientist,Scribe Emr,Hybrid - Bengaluru,5-8 Yrs,"pyspark
deep learning algorithms
machine learning
python
sql
data science
modeling
science"
Senior Data Scientist 5 -15 years (Immediate Joiner),Scribe Emr,"Hybrid - Hyderabad, Bengaluru",10-16 Yrs,"machine learning
aws
deep learning
python
senior
machine
data"
Senior Data Scientist,Scribe Emr,Pune,5-10 Yrs,"technical training
project development
data science
information security
analytical
consulting
management
corporate security"
Senior Data Scientist,Scribe Emr,"Mumbai, Navi Mumbai",4-7 Yrs,"architect
deep learning
data science
enterprise architecture
machine learning
data structures
open source
information technology"
Senior Data Scientist,Scribe Emr,Hybrid - Noida,5-8 Yrs,"data science
python
tensorflow
machine learning
deep learning
data
senior
machine"
Senior Data Scientist,Scribe Emr,"Mumbai, Navi Mumbai",4-7 Yrs,"deep learning
data science
enterprise architecture
machine learning
data structures
open source
big data
information technology"
senior data scientist,Scribe Emr,Bengaluru,2-8 Yrs,"data science
deployment
mathematics
research
statistics
science
senior
data"
Senior Data Scientist,Scribe Emr,Bengaluru,5-9 Yrs,"product management
data analysis
talent acquisition
gcp
artificial intelligence
machine learning
cloud
issue resolution"
Senior Data Scientist,Scribe Emr,Pune,3-5 Yrs,"text mining
computer vision
git
data science
gcp
artificial intelligence
machine learning
agile"
Senior Data Scientist,Scribe Emr,Hybrid - Gurugram,4-7 Yrs,"machine learning
python
data interpretation
data exploration
sql
senior
exploration
interpretation"
Data Scientist - Sales Analytics/Sales Product Owner,Scribe Emr,Mumbai (All Areas)(Prabhadevi +1),10-15 Yrs,"trade scheme analytics
trade promotion analytics
recommendation engine
forecasting engine
sales data analytics
pyspark
sales products analytics
trade incentives"
Lead Data Scientist /Data Engineer,Scribe Emr,Bengaluru,7-9 Yrs,"computer science
data science
data modeling
pharma
analytical
genetics
continuous improvement
operations"
Senior Associate Data Scientist,Scribe Emr,Bengaluru,3-5 Yrs,"data science
machine learning
linguistics
data structures
research
statistics
financial services
sql"
Associate Data Scientist,Scribe Emr,Noida,2-3 Yrs,"statistical modeling
interpersonal skills
coding
neural networks
chemical engineering
data manipulation
spark
analytical"
Data Scientist Associate - Customer Success,Scribe Emr,Gurugram,1-3 Yrs,"hospitality
team management
analytical
management consulting
financial planning
healthcare
predictive modeling
analytics"
"Data Scientist (Mid To Sr, Lead)",Scribe Emr,Thane,5-9 Yrs,"python
matplotlib
scipy
scala
regression classification
clustering
machine learning
numpy"
Lead Data Scientist,Cloudcover Consultancy,Bengaluru,3-9 Yrs,"data science
gcp
analytical
consulting
machine learning
cloud
subject matter expert
python"
Lead Data Scientist,Cloudcover Consultancy,Bengaluru,6-10 Yrs,"c++
automation
data analysis
agile
informatica
oracle
business intelligence
information technology"
Lead Data Scientist,Cloudcover Consultancy,Pune,6-11 Yrs,"product engineering
data analysis
linux
consulting
machine learning
agile
continuous improvement
monitoring"
Lead Data Scientist - MLOps,Cloudcover Consultancy,Pune,10-14 Yrs,"mlops
pytorch
mxnet
ensorflow
langchain
keras
machine learning
machine"
Lead Data Scientist,Cloudcover Consultancy,Pune,5-7 Yrs,"data analysis
publishing
linux
information security
machine learning
data governance
sql
python"
"Lead Data Scientist (NLP, python, Gen AI)",Cloudcover Consultancy,Mumbai,5-9 Yrs,"computer science
c++
data science
coding
machine learning
programming
scrum
natural language processing"
